,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
37,NC,Charlotte,Charlotte,3712000,731424,5,8.6,4.8,5.2,11.9,10.3,35.2078722,-80.83007546,707,35.19478888,-80.8479022,16.35830283,16.56829786,370497.0553,4222924.545,5095555.587,6037405.883,4228945.445,19.05508,13.12654,10.58084,9.521135,5.680620193
142,,,Charlotte ,,,,,,,,,,,,,,,,,,,,,,,,,
10,IL,Chicago,Chicago,1714000,2695598,5,9.9,5.3,5.8,12.2,12.4,41.83729506,-87.68623087,634,41.79396274,-87.82253727,10.22556663,10.44071722,6779775.294,93164678.42,82876182.34,82311959.48,65460184.72,18.36028,13.42546,11.93376,12.54255,5.792150021
145,,,Chicago ,,,,,,,,,,,,,,,,,,,,,,,,,
80,OH,Cincinnati,Cincinnati,3915000,296943,5.5,10.9,6.4,7.9,15,13.7,39.14117471,-84.50600045,681,39.2369108,-84.46200196,12.19838429,12.43175149,764046.6174,8606238.899,6774873.093,6306984.372,5309938.138,18.77534,14.68338,12.3019,12.8798,10.49839973
147,,,Cincinnati ,,,,,,,,,,,,,,,,,,,,,,,,,
68,OH,Cleveland,Cleveland,3916000,396815,5.7,11.8,8.4,10.5,16.5,17.5,41.47653458,-81.68054949,790,41.47505094,-81.64622338,10.21175623,10.2801578,1188874.549,17115431.48,16285626.96,15637508.08,12382651.71,19.54878,15.95676,12.60308,12.686,11.08679962
148,,,Cleveland ,,,,,,,,,,,,,,,,,,,,,,,,,
63,CO,Colorado Springs,Colorado Springs,816000,416427,6.1,9.5,5,5,11.6,11.2,38.86727481,-104.7606645,265,38.86368844,-104.7760317,9.605670691,10.36757088,396290.1245,2994216.926,3243011.994,3837953.618,2082876.774,10.177216,8.937694,7.857632,7.739915,15.91709995
150,,,Colorado Springs ,,,,,,,,,,,,,,,,,,,,,,,,,
36,OH,Columbus,Columbus,3918000,787033,5.1,10.1,5.3,6.8,14.6,12,39.98595005,-82.98517385,729,40.0147868,-82.99973942,10.57155752,10.69221854,1138151.475,10302875.09,8884251.532,8780882.242,7403380.315,18.55958,15.61564,12.61064,13.06525,9.595950127
79,TX,Corpus Christi,Corpus Christi,4817000,305215,5.4,8.6,6.5,6,12.2,14.1,27.72915883,-97.40190954,253,27.74286947,-97.40416723,22.38120365,22.89654064,225223.0592,1258590.356,1203833.367,1215517.998,980750.4275,13.320098,8.644316,6.791826,7.35278,14.9744997
22,TX,Dallas,Dallas,4819000,1197816,4.8,9.4,5.6,5.8,13.2,12.8,32.79398041,-96.76569295,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
23,TX,Fort Worth,Dallas,4827000,741206,4.9,9.6,5.4,5.9,13,12.7,32.7801928,-97.34703232,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
24,TX,Arlington,Dallas,4804000,365438,5.1,9.4,5.1,5.6,12.5,11.8,32.69983686,-97.12508961,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
25,TX,Plano,Dallas,4858016,259841,5.6,7.8,4.3,4.1,9.8,8.9,33.05021493,-96.74864098,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
26,TX,Garland,Dallas,4829000,226876,5.2,9.1,5.9,6.2,12.9,12.7,32.91007999,-96.63042586,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
27,TX,Irving,Dallas,4837000,216290,4.3,8.5,4.8,5,12.1,11.1,32.85838081,-96.97030583,323,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
46,CO,Denver,Denver,820000,600158,5.3,8.8,4.3,4.2,11.4,10.3,39.76202837,-104.8763653,272,39.72837393,-104.9803877,9.310184956,9.789418697,2229499.864,19655770.26,18002360.87,20523139.84,17372973.02,10.3554,9.475478,8.72413,8.753875,13.40799999
